# pattern;frequency
;1289;{}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n;4;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====3, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====3, ==Burmese===1, =={{=my=}}===2, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n;2;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===Synonym====1, ===နာမ်====3, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====3, ==Burmese===1, =={{=my=}}===2, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;796;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===နာမဝိသေသန====3, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n2n;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===ကြိယာ====2, ===နာမ်====1, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===3, ==နာမ် {{-my-နာမ်-}} <!--Noun--> ===1, ==ဘာသာပြန် <!--Translation-->===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n;2;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===ကြိယာ====2, ===နာမ်====2, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====4, ==Burmese===1, =={{=my=}}===3, ==ကိုးကား===3}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====3, ===နာမ်====4, ===ဘာသာပြန်====4, ===ရင်းမြစ်====3, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===3}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;353;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===ကြိယာ====2, ===နာမ်====2, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===4}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n;2;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===ကြိယာ====2, ===နာမ်====2, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===ဝါစင်္ဂ====1, ===အသံထွက်====5, ==Burmese===1, =={{=my=}}===4, ==ကိုးကား===4}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===Synonym====1, ===ကြိယာ====4, ===နာမ်====1, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====5, ==Burmese===1, =={{=my=}}===4, ==ကိုးကား===4}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;173;{====ကြောင်းတူသံကွဲများ=====5, ====ဆက်စပ်အသုံးများ=====5, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====5, ====အင်္ဂလိပ်=====5, ====အရေအတွက်=====5, ===ကြိယာ====4, ===နာမ်====1, ===ဘာသာပြန်====5, ===ရင်းမြစ်====5, ===အသံထွက်====5, =={{=my=}}===5, ==ကိုးကား===5}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n;1;{====ကြောင်းတူသံကွဲများ=====5, ====ဆက်စပ်အသုံးများ=====5, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====5, ====အင်္ဂလိပ်=====5, ====အရေအတွက်=====5, ===See also<!--Please translate "See also"-->====1, ===ကြိယာ====2, ===နာမဝိသေသန====1, ===နာမ်====2, ===ဘာသာပြန် <!--Translation-->====1, ===ဘာသာပြန်====5, ===ရင်းမြစ်====5, ===အသံထွက်====5, =={{=my=}}===5, ==ကိုးကား===5, ==နာမ္ {{-my-နာမ္-}} <!--Noun-->===1}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;114;{====ကြောင်းတူသံကွဲများ=====6, ====ဆက်စပ်အသုံးများ=====6, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====6, ====အင်္ဂလိပ်=====6, ====အရေအတွက်=====6, ===ကြိယာ====3, ===နာမ်====2, ===ဘာသာပြန်====6, ===ရင်းမြစ်====6, ===ဝါစင်္ဂ====1, ===အသံထွက်====6, =={{=my=}}===6, ==ကိုးကား===6}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;66;{====ကြောင်းတူသံကွဲများ=====7, ====ဆက်စပ်အသုံးများ=====7, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====7, ====အင်္ဂလိပ်=====7, ====အရေအတွက်=====7, ===ကြိယာ====3, ===နာမဝိသေသန====2, ===ဘာသာပြန်====7, ===ရင်းမြစ်====7, ===ဝါစင်္ဂ====1, ===အသံထွက်====7, ===အာမေဍိတ်====1, =={{=my=}}===7, ==ကိုးကား===7}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;44;{====ကြောင်းတူသံကွဲများ=====8, ====ဆက်စပ်အသုံးများ=====8, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====8, ====အင်္ဂလိပ်=====8, ====အရေအတွက်=====8, ===ကြိယာ====4, ===နာမ်====4, ===ဘာသာပြန်====8, ===ရင်းမြစ်====8, ===အသံထွက်====8, =={{=my=}}===8, ==ကိုးကား===8}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;18;{====ကြောင်းတူသံကွဲများ=====9, ====ဆက်စပ်အသုံးများ=====9, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====9, ====အင်္ဂလိပ်=====9, ====အရေအတွက်=====9, ===ကြိယာ====6, ===နာမ်====3, ===ဘာသာပြန်====9, ===ရင်းမြစ်====9, ===အသံထွက်====9, =={{=my=}}===9, ==ကိုးကား===9}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;15;{====ကြောင်းတူသံကွဲများ=====10, ====ဆက်စပ်အသုံးများ=====10, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====10, ====အင်္ဂလိပ်=====10, ====အရေအတွက်=====10, ===ကြိယာ====5, ===နာမ်====5, ===ဘာသာပြန်====10, ===ရင်းမြစ်====10, ===အသံထွက်====10, =={{=my=}}===10, ==ကိုးကား===10}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;11;{====ကြောင်းတူသံကွဲများ=====11, ====ဆက်စပ်အသုံးများ=====11, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====11, ====အင်္ဂလိပ်=====11, ====အရေအတွက်=====11, ===ကြိယာ====7, ===နာမ်====2, ===ဘာသာပြန်====11, ===ရင်းမြစ်====11, ===ဝါစင်္ဂ====1, ===သမ္ဗန္ဓ====1, ===အသံထွက်====11, =={{=my=}}===11, ==ကိုးကား===11}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;8;{====ကြောင်းတူသံကွဲများ=====12, ====ဆက်စပ်အသုံးများ=====12, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====12, ====အင်္ဂလိပ်=====12, ====အရေအတွက်=====12, ===ကြိယာ====1, ===နာမ်====3, ===ဘာသာပြန်====12, ===ရင်းမြစ်====12, ===ဝါစင်္ဂ====8, ===အသံထွက်====12, =={{=my=}}===12, ==ကိုးကား===12}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;5;{====ကြောင်းတူသံကွဲများ=====13, ====ဆက်စပ်အသုံးများ=====13, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====13, ====အင်္ဂလိပ်=====13, ====အရေအတွက်=====13, ===ကြိယာ====2, ===နာမဝိသေသန====2, ===နာမ်====8, ===ဘာသာပြန်====13, ===ရင်းမြစ်====13, ===သမ္ဗန္ဓ====1, ===အသံထွက်====13, =={{=my=}}===13, ==ကိုးကား===13}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;4;{====ကြောင်းတူသံကွဲများ=====14, ====ဆက်စပ်အသုံးများ=====14, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====14, ====အင်္ဂလိပ်=====14, ====အရေအတွက်=====14, ===ကြိယာ====3, ===နာမဝိသေသန====1, ===နာမ်====8, ===ဘာသာပြန်====14, ===ရင်းမြစ်====14, ===ဝါစင်္ဂ====2, ===အသံထွက်====14, =={{=my=}}===14, ==ကိုးကား===14}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;6;{====ကြောင်းတူသံကွဲများ=====15, ====ဆက်စပ်အသုံးများ=====15, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====15, ====အင်္ဂလိပ်=====15, ====အရေအတွက်=====15, ===ကြိယာ====11, ===နာမ်====3, ===ဘာသာပြန်====15, ===ရင်းမြစ်====15, ===ဝါစင်္ဂ====1, ===အသံထွက်====15, =={{=my=}}===15, ==ကိုးကား===15}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;4;{====ကြောင်းတူသံကွဲများ=====16, ====ဆက်စပ်အသုံးများ=====16, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====16, ====အင်္ဂလိပ်=====16, ====အရေအတွက်=====16, ===ကြိယာ====3, ===နာမ်====7, ===နာမ်စား====1, ===ဘာသာပြန်====16, ===ရင်းမြစ်====16, ===ဝါစင်္ဂ====5, ===အသံထွက်====16, =={{=my=}}===16, ==ကိုးကား===16}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====17, ====ဆက်စပ်အသုံးများ=====17, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====17, ====အင်္ဂလိပ်=====17, ====အရေအတွက်=====17, ===ကြိယာ====11, ===နာမ်====6, ===ဘာသာပြန်====17, ===ရင်းမြစ်====17, ===အသံထွက်====17, =={{=my=}}===17, ==ကိုးကား===17}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====18, ====ဆက်စပ်အသုံးများ=====18, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====18, ====အင်္ဂလိပ်=====18, ====အရေအတွက်=====18, ===ကြိယာ====7, ===နာမဝိသေသန====2, ===နာမ်====2, ===ဘာသာပြန်====18, ===ရင်းမြစ်====18, ===ဝါစင်္ဂ====7, ===အသံထွက်====18, =={{=my=}}===18, ==ကိုးကား===18}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;3;{====ကြောင်းတူသံကွဲများ=====20, ====ဆက်စပ်အသုံးများ=====20, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====20, ====အင်္ဂလိပ်=====20, ====အရေအတွက်=====20, ===ကြိယာ====14, ===နာမ်====4, ===ဘာသာပြန်====20, ===ရင်းမြစ်====20, ===သမ္ဗန္ဓ====2, ===အသံထွက်====20, =={{=my=}}===20, ==ကိုးကား===20}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====27, ====ဆက်စပ်အသုံးများ=====27, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====27, ====အင်္ဂလိပ်=====27, ====အရေအတွက်=====27, ===ကြိယာ====17, ===နာမဝိသေသန====2, ===နာမ်====7, ===ဘာသာပြန်====27, ===ရင်းမြစ်====27, ===ဝါစင်္ဂ====1, ===အသံထွက်====27, =={{=my=}}===27, ==ကိုးကား===27}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====29, ====ဆက်စပ်အသုံးများ=====29, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====29, ====အင်္ဂလိပ်=====29, ====အရေအတွက်=====29, ===ကြိယာ====29, ===ဘာသာပြန်====29, ===ရင်းမြစ်====29, ===အသံထွက်====29, =={{=my=}}===29, ==ကိုးကား===29}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u3d;1;{====ကြောင်းတူသံကွဲများ=====5, ====ဆက်စပ်အသုံးများ=====5, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====5, ====အင်္ဂလိပ်=====5, ====အရေအတွက်=====5, ===နာမ်====5, ===ဘာသာပြန်====5, ===ဘာသာျပန္ <!--Translation-->====1, ===ရင်းမြစ်====5, ===အသံထွက်====5, =={{=my=}}===5, ==ကိုးကား===5}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===ကြိယာ====1, ===နာမ်====3, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====3, =={{=my=}}===4, ==ကိုးကား===4}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===ကြိယာ====2, ===နာမ်====2, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d4n2u;1;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====တရုတ်=====1, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====2, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, =={{=my=}}===2, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u3d2u;3;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===See also<!--Please translate "See also"-->====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{=my=}}===1, ==ကိုးကား===1, ==ဘာသာျပန္ <!--Translation-->===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;18;{====ကြောင်းတူသံကွဲများ=====2, ====ဆက်စပ်အသုံးများ=====2, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====2, ====အင်္ဂလိပ်=====2, ====အရေအတွက်=====2, ===နာမ်====2, ===ဘာသာပြန်====2, ===ရင်းမြစ်====2, ===အသံထွက်====2, =={{=my=}}===2, ==ကိုးကား===1}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===ကြိယာ====3, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===2}
2d3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u3d3n3n4d4n4n4n3u4d2u;9;{====ကြောင်းတူသံကွဲများ=====3, ====ဆက်စပ်အသုံးများ=====3, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====3, ====အင်္ဂလိပ်=====3, ====အရေအတွက်=====3, ===နာမ်====3, ===ဘာသာပြန်====3, ===ရင်းမြစ်====3, ===အသံထွက်====3, =={{=my=}}===3, ==ကိုးကား===1}
